Worksheet row,Archer field name,OSCAL model,OSCAL element path,Mapping type,Original Notes,Cardinality,Archer data type,Transcription status,Clarification needed,Evidence,Transformation logic,OSCAL data type
39,RELATED_TO_KEY_CONTROLS,Catalog,catalog.control[@id].prop[@name='key-control[CLIPPED],Extension Property,Indicator of key/critical controls,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB01,,
40,DCMA_SCORE_VALUE,Assessment Resu[CLIPPED],assessment-results.result.prop[@name='dcma[CLIPPED],Extension Property,DCMA score value,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
41,DCMA_SCORE_COMMENT,Assessment Resu[CLIPPED],assessment-results.result.prop[@name='dcma[CLIPPED],Extension Property,DCMA score comment,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
42,FINDINGS,Assessment Resu[CLIPPED],assessment-results.result.finding[@uuid],Reference,Assessment findings related to this sub-section,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, Archer data type not visible.",SUB01,,
43,CONTROL_TESTING_RESULTS_FAILED_EXTERNAL_CONTROL_REQUIREMENT,Assessment Resu[CLIPPED],assessment-results.result.finding.collected.pro[CLIPPED],Extension Property,Failed control testing results,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
44,DEVIATIONS_AUTHORITATIVE_SOURCES,Assessment Resu[CLIPPED],assessment-results.result.finding[@uuid].prop[CLIPPED],Extension Property,Documented deviations from standards,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
45,DEVIATIONS_AUTHORITATIVE_SOURCES_LINKED_TO_CONTROL_STANDARDS,Assessment Resu[CLIPPED],assessment-results.result.finding.related-obser[CLIPPED],Reference,Deviations linked to specific control standards (version 2),Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
46,POLICY_LEVEL_3,Component Defi[CLIPPED],component-definition.component.prop[@name[CLIPPED],Extension Property,Hierarchical policy level,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
47,NUMBER_OF_POLICIES_SUB_SECTION_LEVEL,Component Defi[CLIPPED],component-definition.component.prop[@name[CLIPPED],Extension Property,Count of policies at sub-section level,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
48,LINKED_TO_POLICY_SUB_SECTION_LEVEL,Component Defi[CLIPPED],component-definition.component.link[@rel='su[CLIPPED],Reference,Link to sub-section-level policies,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path, Archer data type not visible.",SUB01,,
49,POLICIES_NEW_AUTH_SOURCE_CALC_CROSSREF,Component Defi[CLIPPED],component-definition.component.link[@rel='po[CLIPPED],Reference,Calculated policy cross-reference,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path, Archer data type not visible.",SUB01 + SUB02,,
50,ENGAGEMENT_SCOPE_IN_CONTROL_SUB_SECTION,Assessment Plan,assessment-plan.local-definitions.activity.prop[CLIPPED],Extension Property,Scope of compliance engagement for the sub-section,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB01 + SUB02,,
51,COMPLIANCE_ENGAGEMENTS_SCOPE_PROCEDURES_FROM_SELECTED_AU[CLIPPED],Assessment Plan,assessment-plan.local-definitions.activity.step,Direct,Procedures for compliance engagements,Single,,NEEDS SOURCE TEXT,"Supply full source text: Archer field name, Archer data type not visible.",SUB01 + SUB02,,
52,QUESTION_LIBRARY,Assessment Plan,assessment-plan.local-definitions.activity.prop[CLIPPED],Extension Property,Assessment questionnaire references,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL element path, Archer data type not visible.",SUB01 + SUB02,,
53,EVIDENCE_REPOSITORY,Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evid[CLIPPED],Direct,Link to evidence repository,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Archer data type not visible.",SUB01 + SUB02,,
54,EVIDENCE_REPOSITORY_NIST_SUB_SECTIONS,Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evid[CLIPPED],Reference,NIST sub-section evidence,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path, Archer data type not visible.",SUB01 + SUB02,,
55,EVIDENCE_REPOSITORY_AUTHORITATIVE_SOURCE_SUBSECTION_INPUT,Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evid[CLIPPED],Direct,Sub-section-scoped evidence repository input,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Archer data type not visible.",SUB01 + SUB02,,
56,EVIDENCE_REPOSITORY_RELATED_AUTHORITATIVE_SOURCES,Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evid[CLIPPED],Reference,Related authoritative-source evidence,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path, Archer data type not visible.",SUB01 + SUB02,,
57,EVIDENCE_REPOSITORY_NEW_SUB_SECTION_SELECTOR,Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evid[CLIPPED],Reference,New sub-section evidence selector,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path, Archer data type not visible.",SUB02,,
58,EVIDENCE_REPOSITORY_SELECTED_AUTHORITATIVE_SOURCE_SUB_SECTION[CLIPPED],Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evid[CLIPPED],Reference,Evidence for selected authoritative-source sub-sections,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Archer field name, Cardinality, OSCAL model, OSCAL element path, Archer data type not visible.",SUB02,,
59,EVIDENCE_REPOSITORY_RELATED_AUTHORITATIVE_SOURCE_SUB_SECTIONS[CLIPPED],Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evid[CLIPPED],Reference,Evidence for related authoritative-source sub-sections,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Archer field name, Cardinality, OSCAL model, OSCAL element path, Archer data type not visible.",SUB02,,
60,ATTACHMENTS,Catalog - Back M[CLIPPED],catalog.back-matter.resource[@uuid].base64,Direct,Binary attachments as base64,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, Archer data type not visible.",SUB02,,
61,CONTENT_SOURCE,Catalog - Group,catalog.group.group.prop[@name='content-sou[CLIPPED],Extension Property,Origin system of the content,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB02,,
62,DEFAULT_RECORD_PERMISSIONS,Catalog - Metada[CLIPPED],catalog.metadata.role,Extension Property,Access control and permissions,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, Archer data type not visible.",SUB02,,
63,SUB_SECTION_DATE_CREATED,Catalog - Group,catalog.group.group.prop[@name='date-create[CLIPPED],Transform,Sub-section creation date; convert to DateTimeWithTimezoneDatatype,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB02,,
64,SUB_SECTION_LAST_UPDATED,Catalog - Group,catalog.group.group.prop[@name='last-update[CLIPPED],Transform,Sub-section last-modified date; convert to DateTimeWithTimezoneDatatype,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL element path, Archer data type not visible.",SUB02,,
65,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SUB_SECTION_FIRST_PUBLI[CLIPPED],Catalog - Metadata,catalog.metadata.published,Transform,First publication in Archer; convert to DateTimeWithTimezoneDatatype,Single,,NEEDS SOURCE TEXT,"Supply full source text: Archer field name, Archer data type not visible.",SUB02,,
66,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SUB_SECTION_LAST_UPDAT[CLIPPED],Catalog - Metadata,catalog.metadata.last-modified,Transform,Last update in Archer; convert to DateTimeWithTimezoneDatatype,Single,,NEEDS SOURCE TEXT,"Supply full source text: Archer field name, Archer data type not visible.",SUB02,,
67,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SUB_SECTION_CONFIRMED[CLIPPED],Catalog - Group,catalog.group.group.prop[@name='confirmed-[CLIPPED],Transform,Confirmation/verification date; convert to DateTimeWithTimezoneDatatype,Single,,NEEDS SOURCE TEXT,"Supply full source text: Archer field name, OSCAL element path, Archer data type not visible.",SUB02,,
68,INSERT_DATE,N/A - System Metadata,,System Metadata,ETL/data warehouse field - not typically mapped to OSCAL,Single,,CORE TEXT CAPTURED,Supply full source text: Archer data type not visible.,SUB02,,
69,UPDATE_DATE,N/A - System Metadata,,System Metadata,ETL/data warehouse field - not typically mapped to OSCAL,Single,,CORE TEXT CAPTURED,Supply full source text: Archer data type not visible.,SUB02,,
70,CHECKSUM_VALUE,N/A - System Metadata,,System Metadata,Data integrity field - not typically mapped to OSCAL,Single,,CORE TEXT CAPTURED,Supply full source text: Archer data type not visible.,SUB02,,
71,_OF_NONCOMPLIANT_CONTROLS,Assessment Resu[CLIPPED],assessment-results.result.prop[@name='nonco[CLIPPED],Extension Property,Appears to be duplicate/truncated field name - likely COUNT_OF_NONCOMPLIANT_CONTROLS or PCT_OF_NONCOMPLIANT_CONTROLS,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Archer data type not visible.",SUB02,,
72,EVIDENCE_REPOSITORY_AUTHORITATIVE_SOURCE__SUBSECTION_INPUT,Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evid[CLIPPED],Reference,Duplicate field (extra underscore); appears same as EVIDENCE_REPOSITORY_AUTHORITATIVE_SOURCE_SUBSECTION_INPUT - verify source,Single,,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Archer data type not visible. Confirm exact underscore position/count before SUBSECTION_INPUT.",SUB02,,
73,EVIDENCE_REPOSITORY_RELATED_AUTHORITATIVE_SOURCE__SUB_SECTION[CLIPPED],Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evid[CLIPPED],Reference,Duplicate field (extra underscore); appears same as EVIDENCE_REPOSITORY_RELATED_AUTHORITATIVE_SOURCE_SUB_SECTIONS - verify source,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Archer field name, Cardinality, OSCAL model, OSCAL element path, Archer data type not visible. Confirm full field name and exact underscore position/count.",SUB02,,
74,EVIDENCE_REPOSITORY_SELECTED_AUTHORITATIVE_SOURCE__SUB_SECTI[CLIPPED],Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evid[CLIPPED],Reference,Duplicate field (extra underscore); appears same as EVIDENCE_REPOSITORY_SELECTED_AUTHORITATIVE_SOURCE_SUB_SECTIONS - verify source,Multi (likely ref[CLIPPED],,NEEDS SOURCE TEXT,"Supply full source text: Archer field name, Cardinality, OSCAL model, OSCAL element path, Archer data type not visible. Confirm full field name and exact underscore position/count.",SUB02,,
