Worksheet row,Archer field name,OSCAL model,OSCAL element path,Mapping type,Original Notes,Cardinality,Archer data type,Transcription status,Clarification needed,Evidence,Transformation logic,OSCAL data type
15,CONTROL_STANDARDS,Catalog,catalog.group.control[@id],Reference,Control standards within this section,Multi (likely re[CLIPPED],VARCHAR,CORE TEXT CAPTURED,Supply full source text: Cardinality.,SEC01,,
16,CONTROL_STANDARDS_FROM_SECTION_LEVEL_AND_BELOW,Catalog,catalog.group.control[@id] + catalog.group.gro[CLIPPED],Reference,Controls at this section and all descendant sub-sections,Multi (likely re[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL element path.",SEC01,,
17,CONTROL_STANDARDS__FROM_SECTION_LEVEL_AND_BELOW,Catalog,catalog.group.control[@id],Reference,Duplicate field (extra underscore); appears same as CONTROL_STANDARDS_FROM_SECTION_LEVEL_AND_[CLIPPED],Multi (likely re[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, Original Notes.",SEC01,,
18,MASTER_CONTROLS_AUTHORITATIVE_SOURCES,Catalog,catalog.control[@id].link[@rel='related'],Reference,Relationship to master control definitions,Multi (likely re[CLIPPED],VARCHAR,CORE TEXT CAPTURED,Supply full source text: Cardinality.,SEC01,,
19,CONTROL_PROCEDURES,Catalog or Compo[CLIPPED],catalog.control[@id].part[@name='statement'],Direct,Procedures for implementing controls,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: OSCAL model.,SEC01,,
20,RELATED_CONTROL_PROCEDURES,Catalog,catalog.control[@id].link[@rel='related'],Reference,Cross-references to related procedures,Multi (likely re[CLIPPED],VARCHAR,CORE TEXT CAPTURED,Supply full source text: Cardinality.,SEC01,,
21,NUMBER_OF_CONTROL_STANDARDS_SECTION_LEVEL,Catalog - Group,catalog.group.prop[@name='control-count'],Extension Property,Count of controls at section level,Single,DECIMAL,CORE TEXT CAPTURED,,SEC01,,
22,COMPLIANCE_RATING,Assessment Resu[CLIPPED],assessment-results.result.reviewed-controls.c[CLIPPED],Extension Property,Overall compliance rating for the section,Single,VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",SEC01,,
23,COUNT_OF_CONTROLS,Catalog - Group,catalog.group.prop[@name='total-controls'],Extension Property,Total number of controls in the section,Single,DECIMAL,CORE TEXT CAPTURED,,SEC01,,
24,COUNT_OF_NONCOMPLIANT_CONTROLS,Assessment Resu[CLIPPED],assessment-results.result.prop[@name='nonc[CLIPPED],Extension Property,Number of non-compliant controls,Single,DECIMAL,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",SEC01,,
25,PCT_OF_NONCOMPLIANT_CONTROLS,Assessment Resu[CLIPPED],assessment-results.result.prop[@name='nonc[CLIPPED],Extension Property,Percentage of non-compliant controls,Single,DECIMAL,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",SEC01,,
26,RELATED_TO_KEY_CONTROLS,Catalog,catalog.control[@id].prop[@name='key-contro[CLIPPED],Extension Property,Indicator of key/critical controls,Single,DECIMAL,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,SEC01,,
27,FINDINGS,Assessment Resu[CLIPPED],assessment-results.result.finding[@uuid],Reference,Assessment findings related to this section,Multi (likely re[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model.",SEC01,,
28,CONTROL_TESTING_RESULTS_FAILED_EXTERNAL_CONTROL_REQUIREMENT,Assessment Resu[CLIPPED],assessment-results.result.finding.collected.pr[CLIPPED],Extension Property,Failed control testing results,Multi (likely re[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path.",SEC01,,
29,DEVIATIONS_AUTHORITATIVE_SOURCES,Assessment Resu[CLIPPED],assessment-results.result.finding[@uuid].prop[CLIPPED],Extension Property,Documented deviations from standards,Multi (likely re[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path.",SEC01,,
30,DEVIATIONS_SECTIONS_LINKED_HELPER,Assessment Resu[CLIPPED],assessment-results.result.finding.related-obse[CLIPPED],Reference,Helper linking deviations to sections/controls,Multi (likely re[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path.",SEC01,,
31,AS_DEVIATION_CREATE_FLAG_CREATE,Assessment Resu[CLIPPED],assessment-results.result.finding.prop[@name[CLIPPED],Extension Property,Flag indicating a deviation should be created,Single,VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",SEC01,,
32,AS_DEVIATION_CREATE_FLAG__CREATE,Assessment Resu[CLIPPED],assessment-results.result.finding.prop[@name[CLIPPED],Extension Property,Duplicate field (extra underscore); appears same as AS_DEVIATION_CREATE_FLAG_CREATE - verify source,Single,VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path. Confirm exact underscore count in AS_DEVIATION_CREATE_FLAG__CREATE.",SEC01,,
33,CREATE_DEVIATION_BINARY_AS,Assessment Resu[CLIPPED],assessment-results.result.finding.prop[@name[CLIPPED],Extension Property,Binary form of the deviation-create flag,Single,DECIMAL,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",SEC01,,
34,CRITICALITY,Catalog - Group,catalog.group.prop[@name='criticality'],Extension Property,Criticality level of the section,Single,VARCHAR,CORE TEXT CAPTURED,,SEC01,,
35,SECTION_CRITICALITY_VALUE,Catalog - Group,catalog.group.prop[@name='criticality-value'],Extension Property,Criticality score for the section,Single,VARCHAR,CORE TEXT CAPTURED,,SEC01,,
36,SUM_OF_SUB_SECTION_CRITICALITY_VALUE,Catalog - Group,catalog.group.prop[@name='sub-section-critic[CLIPPED],Extension Property,Rolled-up sub-section criticality,Single,DECIMAL,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,SEC01,,
37,INFORMATION,Catalog - Group,catalog.group.part[@name='information'].pros[CLIPPED],Direct,Additional information about the section,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,SEC01,,
38,POLICY_LEVEL_3,Component Defi[CLIPPED],component-definition.component.prop[@name[CLIPPED],Extension Property,Hierarchical policy level,Single,VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",SEC01,,
39,POLICY_LEVEL_3_FROM_SECTION_LEVEL_AND_BELOW,Component Defi[CLIPPED],component-definition.component.link[@rel='p[CLIPPED],Reference,Policy Level 3 for section and descendants,Single,VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",SEC01,,
40,POLICY_LEVEL_3__FROM_SECTION_LEVEL_AND_BELOW,Component Defi[CLIPPED],component-definition.component.prop[@name[CLIPPED],Extension Property,Duplicate field (extra underscore); appears same as POLICY_LEVEL_3_FROM_SECTION_LEVEL_AND_BELO[CLIPPED],Single,VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Original Notes.",SEC01,,
41,LINKED_TO_POLICY_SECTION_LEVEL,Component Defi[CLIPPED],component-definition.component.link[@rel='s[CLIPPED],Reference,Link to section-level policies,Multi (likely re[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path.",SEC01,,
42,NUMBER_OF_POLICIES_SECTION_LEVEL,Component Defi[CLIPPED],component-definition.component.prop[@name[CLIPPED],Extension Property,Count of policies at section level,Single,DECIMAL,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",SEC01,,
43,TOTAL_NUMBER_OF_SUB_SECTIONS_LINKED_TO_POLICY,Component Defi[CLIPPED],component-definition.component.prop[@name[CLIPPED],Extension Property,Sub-sections linked to a policy,Single,DECIMAL,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",SEC01,,
44,PERCENT_OF_SUB_SECTIONS_LINKED_TO_POLICY,Component Defi[CLIPPED],component-definition.component.prop[@name[CLIPPED],Extension Property,Percent of sub-sections linked to policy,Single,DECIMAL,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",SEC01,,
45,POLICIES_NEW_AUTH_SOURCE_CALC_CROSSREF_SECTION,Component Defi[CLIPPED],component-definition.component.link[@rel='p[CLIPPED],Reference,Calculated policy cross-reference for the section,Multi (likely re[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path.",SEC01,,
46,POLICIES_COPY_OF_NEW_AUTH_SOURCE_CALC_CROSSREF_SECTION,Component Defi[CLIPPED],component-definition.component.link[@rel='p[CLIPPED],Reference,COPY_OF duplicate of POLICIES_NEW_AUTH_SOURCE_CALC_CROSSREF_SECTION - verify source,Multi (likely re[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model, OSCAL element path.",SEC01,,
47,ENGAGEMENT_SCOPE_IN_CONTROL_SECTION,Assessment Plan,assessment-plan.local-definitions.activity.prop[CLIPPED],Extension Property,Scope of compliance engagement for the section,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,SEC01,,
48,COMPLIANCE_ENGAGEMENTS_SCOPE_PROCEDURES_FROM_SELECTED_AUTHORITATIVE_SOURCES,Assessment Plan,assessment-plan.local-definitions.activity.step,Direct,Procedures for compliance engagements,Single,VARCHAR,CORE TEXT CAPTURED,,SEC01,,
49,QUESTION_LIBRARY,Assessment Plan,assessment-plan.local-definitions.activity.prop[CLIPPED],Extension Property,Assessment questionnaire references,Multi (likely re[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL element path.",SEC01,,
50,EVIDENCE_REPOSITORY,Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evide[CLIPPED],Direct,Link to evidence repository,Single,VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",SEC01,,
51,EVIDENCE_REPOSITORY_AUTHORITATIVE_SOURCE_SECTION_INPUT,Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evide[CLIPPED],Direct,Section-scoped evidence repository input,Single,VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path.",SEC01,,
52,EVIDENCE_REPOSITORY_AUTHORITATIVE_SOURCE__SECTION_INPUT,Assessment Resu[CLIPPED],assessment-results.result.finding.relevant-evide[CLIPPED],Direct,Duplicate field (extra underscore); appears same as EVIDENCE_REPOSITORY_AUTHORITATIVE_SOURCE_S[CLIPPED],Single,VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Original Notes. Confirm exact underscore position/count in EVIDENCE_REPOSITORY_AUTHORITATIVE_SOURCE__SECTION_INPUT.",SEC01,,
53,ATTACHMENTS,Catalog - Back M[CLIPPED],catalog.back-matter.resource[@uuid].base64,Direct,Binary attachments as base64,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: OSCAL model.,SEC01,,
54,DEFAULT_RECORD_PERMISSIONS,Catalog - Metada[CLIPPED],catalog.metadata.role,Extension Property,Access control and permissions,Multi (likely re[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL model.",SEC01,,
55,SECTION_DATE_CREATED,Catalog - Group,catalog.group.prop[@name='date-created'],Transform,Section creation date; convert to DateTimeWithTimezoneDatatype,Single,TIMESTAMP,CORE TEXT CAPTURED,,SEC01,,
56,SECTION_LAST_UPDATED,Catalog - Group,catalog.group.prop[@name='last-updated'],Transform,Section last-modified date; convert to DateTimeWithTimezoneDatatype,Single,TIMESTAMP,CORE TEXT CAPTURED,,SEC01,,
57,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SECTION_FIRST_PUBLISHED,Catalog - Metada[CLIPPED],catalog.metadata.published,Transform,First publication in Archer; convert to DateTimeWithTimezoneDatatype,Single,TIMESTAMP,NEEDS SOURCE TEXT,Supply full source text: OSCAL model.,SEC01,,
58,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SECTION_LAST_UPDATED,Catalog - Metada[CLIPPED],catalog.metadata.last-modified,Transform,Last update in Archer; convert to DateTimeWithTimezoneDatatype,Single,TIMESTAMP,NEEDS SOURCE TEXT,Supply full source text: OSCAL model.,SEC01,,
59,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SECTION_CONFIRMED_IN_ARCHER,Catalog - Group,catalog.group.prop[@name='confirmed-date'],Transform,Confirmation/verification date; convert to DateTimeWithTimezoneDatatype,Single,TIMESTAMP,CORE TEXT CAPTURED,,SEC01,,
60,INSERT_DATE,N/A - System Metadata,,System Metadata,ETL/data warehouse field - not typically mapped to OSCAL,Single,TIMESTAMP,CORE TEXT CAPTURED,,SEC01,,
61,UPDATE_DATE,N/A - System Metadata,,System Metadata,ETL/data warehouse field - not typically mapped to OSCAL,Single,TIMESTAMP,CORE TEXT CAPTURED,,SEC01,,
62,CHECKSUM_VALUE,N/A - System Metadata,,System Metadata,Data integrity field - not typically mapped to OSCAL,Single,VARCHAR,CORE TEXT CAPTURED,,SEC01,,
63,_OF_NONCOMPLIANT_CONTROLS,Assessment Resu[CLIPPED],assessment-results.result.prop[@name='nonc[CLIPPED],Extension Property,Appears to be duplicate/truncated field name - likely COUNT_OF_NONCOMPLIANT_CONTROLS or PCT_O[CLIPPED],Single,DECIMAL,NEEDS SOURCE TEXT,"Supply full source text: OSCAL model, OSCAL element path, Original Notes.",SEC01,,
