Worksheet row,Archer field name,OSCAL model,OSCAL element path,Mapping type,Original Notes,Cardinality,Archer data type,Transcription status,Clarification needed,Evidence,Transformation logic,OSCAL data type
23,PCT_OF_NONCOMPLIANT_CONTROLS,Assessment Results,assessment-results.result.prop[@name='nonco[CLIPPED],Extension Property,Percentage of non-compliant controls,Single,DECIMAL,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,T01 + T03,,
24,COUNT_OF_CONTROLS,Catalog - Group,catalog.group.prop[@name='total-controls'],Extension Property,Total number of controls in the topic,Single,DECIMAL,CORE TEXT CAPTURED,,T01 + T03,,
25,COUNT_OF_NONCOMPLIANT_CONTROLS,Assessment Results,assessment-results.result.prop[@name='nonc[CLIPPED],Extension Property,Number of non-compliant controls,Single,DECIMAL,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,T01 + T03,,
26,RELATED_TO_KEY_CONTROLS,Catalog,catalog.control[@id].prop[@name='key-control[CLIPPED],Extension Property,Indicator of key/critical controls,Single,DECIMAL,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,T01 + T03,,
27,FINDINGS,Assessment Results,assessment-results.result.finding[@uuid],Reference,Assessment findings related to this topic,Multi (likely ref[CLIPPED],VARCHAR,CORE TEXT CAPTURED,Supply full source text: Cardinality.,T01 + T03,,
28,CONTROL_TESTING_RESULTS_FAILED_EXTERNAL_CONTROL_REQUIREMENT,Assessment Results,assessment-results.result.finding.collected.pro[CLIPPED],Extension Property,Failed control testing results,Multi (likely ref[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL element path.",T01 + T03,,
29,DEVIATIONS_AUTHORITATIVE_SOURCES,Assessment Results,assessment-results.result.finding[@uuid].prop[CLIPPED],Extension Property,Documented deviations from standards,Multi (likely ref[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL element path.",T01 + T03,,
30,DEVIATIONS_TOPICS_LINKED_HELPER,Assessment Results,assessment-results.result.finding.related-obser[CLIPPED],Reference,Helper linking deviations to topics/controls,Multi (likely ref[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL element path.",T01 + T03,,
31,POLICY_LEVEL_3,Component Definition,component-definition.component.prop[@name=[CLIPPED],Extension Property,Hierarchical policy level,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,T01 + T03,,
32,POLICY_LEVEL_3_FROM_SECTION_AND_SUBSECTION_LEVELS,Component Definition,component-definition.component.link[@rel='pol[CLIPPED],Reference,Policy Level 3 rolled up from descendant levels,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,T01 + T03,,
33,NUMBER_OF_POLICIES_TOPIC_LEVEL,Component Definition,component-definition.component.prop[@name=[CLIPPED],Extension Property,Count of policies at topic level,Single,DECIMAL,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,T01 + T03,,
34,LINKED_TO_POLICY_TOPIC_LEVEL,Component Definition,component-definition.component.link[@rel='top[CLIPPED],Reference,Link to topic-level policies,Multi (likely ref[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL element path.",T01 + T03,,
35,TOTAL_NUMBER_OF_SECTIONS_LINKED_TO_POLICY,Component Definition,component-definition.component.prop[@name=[CLIPPED],Extension Property,Child sections linked to a policy,Single,DECIMAL,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,T01 + T03,,
36,PERCENT_OF_SECTIONS_LINKED_TO_POLICY,Component Definition,component-definition.component.prop[@name=[CLIPPED],Extension Property,Percent of child sections linked to policy,Single,DECIMAL,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,T01 + T03,,
37,ENGAGEMENT_SCOPE_IN_CONTROL_TOPIC,Assessment Plan,assessment-plan.local-definitions.activity.prop[CLIPPED],Extension Property,Scope of compliance engagement for the topic,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,T01 + T03,,
38,COMPLIANCE_ENGAGEMENTS_SCOPE_PROCEDURES_FROM_SELECTED_AUTH[CLIPPED],Assessment Plan,assessment-plan.local-definitions.activity.step,Direct,Procedures for compliance engagements,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: Archer field name.,T01 + T03,,
39,QUESTION_LIBRARY,Assessment Plan,assessment-plan.local-definitions.activity.prop[CLIPPED],Extension Property,Assessment questionnaire references,Multi (likely ref[CLIPPED],VARCHAR,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL element path.",T01 + T03,,
40,EVIDENCE_REPOSITORY,Assessment Results,assessment-results.result.finding.relevant-evide[CLIPPED],Direct,Link to evidence repository,Single,VARCHAR,NEEDS SOURCE TEXT,Supply full source text: OSCAL element path.,T01 + T03,,
41,ATTACHMENTS,Catalog - Back Matter,catalog.back-matter.resource[@uuid].base64,Direct,Binary attachments as base64,Single,VARCHAR,CORE TEXT CAPTURED,,T01 + T03,,
42,DEFAULT_RECORD_PERMISSIONS,Catalog - Metadata,catalog.metadata.role,Extension Property,Access control and permissions,Multi (likely ref[CLIPPED],VARCHAR,CORE TEXT CAPTURED,Supply full source text: Cardinality.,T01 + T03,,
43,TOPIC_DATE_CREATED,Catalog - Group,catalog.group.prop[@name='date-created'],Transform,Topic creation date; convert to DateTimeWithTimezoneDatatype,[NOT VISIBLE],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",T02 + T04,,
44,TOPIC_LAST_UPDATED,Catalog - Group,catalog.group.prop[@name='last-updated'],Transform,Topic last-modified date; convert to DateTimeWithTimezoneDatatype,[NOT VISIBLE],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",T02 + T04,,
45,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_TOPIC_FIRST_PUBLISHED,Catalog - Metadata,catalog.metadata.published,Transform,First publication in Archer; convert to DateTimeWithTimezoneDatatype,[NOT VISIBLE],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",T02 + T04,,
46,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_TOPIC_LAST_UPDATED,Catalog - Metadata,catalog.metadata.last-modified,Transform,Last update in Archer; convert to DateTimeWithTimezoneDatatype,[NOT VISIBLE],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",T02 + T04,,
47,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_TOPIC_CONFIRMED_IN_ARCHE[CLIPPED],Catalog - Group,catalog.group.prop[@name='confirmed-date'],Transform,Confirmation/verification date; convert to DateTimeWithTimezoneDatatype,[NOT VISIBLE],,NEEDS SOURCE TEXT,"Supply full source text: Archer field name, Cardinality, Archer data type not visible.",T02 + T04,,
48,INSERT_DATE,N/A - System Metadata,,System Metadata,ETL/data warehouse field - not typically mapped to OSCAL,[NOT VISIBLE],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",T02 + T04,,
49,UPDATE_DATE,N/A - System Metadata,,System Metadata,ETL/data warehouse field - not typically mapped to OSCAL,[NOT VISIBLE],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",T02 + T04,,
50,CHECKSUM_VALUE,N/A - System Metadata,,System Metadata,Data integrity field - not typically mapped to OSCAL,[NOT VISIBLE],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",T02 + T04,,
51,_OF_NONCOMPLIANT_CONTROLS,Assessment Results,assessment-results.result.prop[@name='nonco[CLIPPED],Extension Property,Appears to be duplicate/truncated field name - likely COUNT_OF_NONCOMPLIANT_CONTROLS or PCT_OF_NONCOMPLIANT_CONTROLS,[NOT VISIBLE],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL element path, Archer data type not visible.",T02 + T04,,
52,CONTROL_STANDARDS__FROM_SECTION_AND_SUBSECTION_LEVELS,Catalog,catalog.group.group.control[@id],Reference,Duplicate field (extra underscore); appears same as CONTROL_STANDARDS_FROM_SECTION_AND_SUBSECTION_LEVELS - verify source,[NOT VISIBLE],,CORE TEXT CAPTURED,"Supply full source text: Cardinality, Archer data type not visible.",T02 + T04,,
53,POLICY_LEVEL_3__FROM_SECTION_AND_SUBSECTION_LEVELS,Component Definition,component-definition.component.prop[@name=[CLIPPED],Extension Property,Duplicate field (extra underscore); appears same as POLICY_LEVEL_3_FROM_SECTION_AND_SUBSECTION_LEVELS - verify source,[NOT VISIBLE],,NEEDS SOURCE TEXT,"Supply full source text: Cardinality, OSCAL element path, Archer data type not visible.",T02 + T04,,
