Worksheet row,Archer field name,OSCAL model,OSCAL element path,Mapping type,Original Notes,Cardinality,Archer data type,Transcription status,Clarification needed,Evidence,Transformation logic,OSCAL data type
40,COMPLIANCE_ENGAGEMENTS_SCOPE_PROCEDURES_FROM_SELECTED_AUTHORITATIVE_SOURCES,Assessment Plan,assessment-plan.local-definitions.activity.step,Direct,Procedures for compliance engagements,Single,VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
41,QUESTION_LIBRARY,Assessment Plan,assessment-plan.local-definitions.activity.prop[@name='question-library'],Extension Property,Assessment questionnaire references,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
42,EVIDENCE_REPOSITORY,Assessment Results,assessment-results.result.finding.relevant-evidence.link.href,Direct,Link to evidence repository,Single,VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
43,EFFECTIVE_DATE,Catalog - Metadata,catalog.metadata.prop[@name='effective-date'],Transform,Date source becomes effective; convert to DateDatatype,Single,TIMESTAMP,CORE TEXT CAPTURED,,S03 + S04,,
44,OFFICIAL_RETIREMENT_DATE,Catalog - Metadata,catalog.metadata.prop[@name='retirement-date'],Transform,Official date source is retired; convert to DateDatatype,Single,TIMESTAMP,CORE TEXT CAPTURED,,S03 + S04,,
45,RTX_RETIREMENT_DATE,Catalog - Metadata,catalog.metadata.prop[@name='rtx-retirement-date'],Transform,Organization-specific retirement date; convert to DateDatatype,Single,TIMESTAMP,CORE TEXT CAPTURED,,S03 + S04,,
46,DATE_CREATED,Catalog - Metadata,catalog.metadata.published,Transform,Initial creation date; convert to DateTimeWithTimezoneDatatype,Single,TIMESTAMP,CORE TEXT CAPTURED,,S03 + S04,,
47,LAST_UPDATED,Catalog - Metadata,catalog.metadata.last-modified,Transform,Last modification date; convert to DateTimeWithTimezoneDatatype,Single,TIMESTAMP,CORE TEXT CAPTURED,,S03 + S04,,
48,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SOURCE_FIRST_PUBLISHED,Catalog - Metadata,catalog.metadata.published,Transform,First publication in Archer; convert to DateTimeWithTimezoneDatatype,Single,TIMESTAMP,CORE TEXT CAPTURED,,S03 + S04,,
49,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SOURCE_LAST_UPDATED,Catalog - Metadata,catalog.metadata.last-modified,Transform,Last update in Archer; convert to DateTimeWithTimezoneDatatype,Single,TIMESTAMP,CORE TEXT CAPTURED,,S03 + S04,,
50,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SOURCE_CONFIRMED_IN_ARCHER,Catalog - Metadata,catalog.metadata.prop[@name='confirmed-date'],Transform,Confirmation/verification date; convert to DateTimeWithTimezoneDatatype,Single,TIMESTAMP,CORE TEXT CAPTURED,,S03 + S04,,
51,RECORD_STATUS,Catalog - Metadata,catalog.metadata.prop[@name='record-status'],Extension Property,"Status of the record (active, archived, etc.)",Single,VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
52,DEFAULT_RECORD_PERMISSIONS,Catalog - Metadata,catalog.metadata.role,Extension Property,Access control and permissions,Multi (likely reference),VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
53,CONTENT_SOURCE,Catalog - Metadata,catalog.metadata.prop[@name='content-source'],Extension Property,Custom property indicating origin system,Single,VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
54,INSERT_DATE,N/A - System Metadata,,System Metadata,ETL/data warehouse field - not typically mapped to OSCAL,Single,TIMESTAMP,CORE TEXT CAPTURED,,S03 + S04,,
55,UPDATE_DATE,N/A - System Metadata,,System Metadata,ETL/data warehouse field - not typically mapped to OSCAL,Single,TIMESTAMP,CORE TEXT CAPTURED,,S03 + S04,,
56,CHECKSUM_VALUE,N/A - System Metadata,,System Metadata,Data integrity field - not typically mapped to OSCAL,Single,VARCHAR,CORE TEXT CAPTURED,,S03 + S04,,
57,ARCHER_CONTENT_AUTHORITATIVE_SOURCES_SOURCE_CONTENT_ID,Catalog - Metadata,catalog.metadata.prop[@name='archer-content-id'],Extension Property,Original Archer content identifier for reference and traceability,Single,DECIMAL,CORE TEXT CAPTURED,,S03 + S04,,
